,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
ASV_117,-0.004995158293219553,-0.009329260449280763,0.0021057198682462768,-0.0003955511295876261,0.04659418565171784,-0.006961462080328985,0.01728838515117059,-0.03335536306579665,0.04402491548915886,0.03056750424144464,0.039955430124364776,0.024661239927973595,-0.00860177833660068,-0.03411354516513992,0.0483100344596669,-0.009786768175300671,-0.04138348711158541,0.012238230060200545,0.01010362704742234,0.0032846109350342387,0.037686151437865065,0.05814430666646182,0.08966754587294307,0.04987471064597871,-0.04524979896079073,-0.12459121259201354,0.0029388441583439707,-0.031450865885498135,-0.013059635131765966,-0.3421081622653325
ASV_119,-0.002051432667937115,-0.008218618129749979,0.01085870043810729,-0.016472457857183046,0.04161529197589065,0.005766346747483777,0.006797151937974387,-0.07966370292565034,0.0075206072718598214,0.03139625818343606,-0.04323485398810444,0.09116322017778744,-0.01886377872321384,0.017290729806879686,-0.02632319983513691,0.10532477092416907,0.06527080216715551,-0.02285075554749601,0.08401081388031048,0.12735049442376237,0.05673818423116449,-0.002824173076639107,0.1144033984312369,-0.045567194373258,-0.00478762168939137,0.11530909316154696,-0.058817189141831434,-0.00831606693004913,0.029709402913889404,-0.10915627808916531
ASV_12,-0.0010593216362038448,0.050849949762829263,-0.032854882207496626,-0.004693471289788259,-0.009388827169749933,0.036559578732272946,-0.03083050634592348,0.022346372745735036,-0.018389885455319558,-0.03205682186947737,-0.012698783581337964,0.0466368373327689,0.06775540259121805,0.11680669371595609,-0.10384816377732121,0.21806131989383623,-0.2553945953088366,0.034548516767754625,-0.03720311586158414,0.13610464970229266,0.08175162313627082,-0.03902241559114114,0.0746317160088853,0.28971023123917294,-0.030860987524902014,-0.09653912093964008,-0.21439024846859286,-0.05759592217096869,0.017725696892418437,0.07783611736161737
ASV_120,-0.01464497204155509,-0.007179044575253746,-0.004459856021580978,-0.030890837237465114,0.014358269871367211,-0.03613281192852368,0.022972150272972905,-0.003236865112446637,0.06947142316378399,0.08855196761544405,0.08792907969692858,-0.0710171664029571,-0.08495869908940651,-0.13021166097739664,0.09151583596403634,-0.08674839073344982,-0.07370121168415913,0.11939966788427514,-0.06156246596892919,-0.062328933515122614,-0.07610843213274665,0.12361221100638992,-0.0303427263457718,0.10405415089036422,0.040102125591744336,-0.07151351065929358,-0.3010706275086355,0.04243841885971971,0.06349732058244345,-0.01677245183009916
ASV_121,-0.005539248647792441,-0.0053908209047213995,0.006074459367933836,0.00692444807596333,0.01781283502007044,-0.0048239358226629826,-0.00840507584361837,-0.021829955821568565,-0.006808856456005399,0.011372451957464249,0.0665337149743904,0.018289903886225013,-0.035790602068191985,0.05925690471344185,0.011530717074529424,0.05264224249790219,-0.035613519510034344,-0.0033482809377292076,-0.027096652039048565,-0.023535549773936206,-0.05028855124230633,-0.020034360545239997,-0.07933453394911438,0.04697527412805679,0.019206942024109126,0.024780385662112724,-0.06226377971330826,-0.034040841881380665,-0.020397233575754778,-0.04395193752946615
ASV_123,0.005372058108966001,0.006363904682938319,0.004912276112509236,0.00136192044331735,-0.003086117483660463,0.0033286321324218866,0.0027292275645558863,0.0032209137429996433,0.0022609340060425207,0.008503299614772055,-0.00918000545567057,-0.01929395772230216,0.02679015562228817,0.01873559406760001,0.0373134779646306,-0.012918524677323406,0.031230372344603036,-0.014007343409221017,-0.026870655025438662,-0.02731618081345639,0.036612213036542746,-0.007400964678468396,0.004938497384093188,0.06081997050696188,-0.03937260495875299,0.013722857503473311,0.02591205398345935,0.09395984857884426,-0.0037160767827011383,0.13024409131120607
ASV_124,-0.00352120035474022,-0.01028078794824632,0.00623128434160766,-0.014454684892728395,0.021865712933203253,0.009381813381963382,0.001074371656352041,0.013543321451658034,-0.02642060745275339,-0.09886536722776322,-0.03936222419886011,0.006239957567357694,0.10096761618760415,-0.0697508932386651,-0.037272196993525276,-0.025765556942180197,0.08351382244385155,0.02701086796270409,-0.10922715079441762,0.1251288471016484,-0.0367356159647575,0.014343028160272041,-0.031089842944339193,0.0450728189644919,-0.02736373585199351,0.020448272118665966,-0.044019195588674905,-0.010516442350068964,-0.0589371568658519,0.024152402479023304
ASV_127,-0.00957284199214733,-0.038729075308128545,0.0021225621899587494,-0.09856505761197404,-0.042001385367231435,0.020329587992211535,0.047072051321636825,0.14378995760938615,0.022790399092615325,-0.02546884028395746,-0.03588467467197285,0.003477094544416511,0.07418175920038643,-0.05181434264191327,-0.048593719678309236,0.03975911073762671,0.0015705153289834555,-0.026590030364726232,-0.06344642658038063,-0.061029101465401456,0.024891192610498675,-0.014493101794764141,0.009308187104169596,-0.016836810253448894,0.035666466951268766,0.06766557021108537,0.007587677303324025,-0.05546922207300909,-0.0017547080856423704,-0.28333512847342324
ASV_128,0.0071031786932258135,0.017003637774651015,0.0010274681650250795,-0.0011803216098882718,-0.008515611233724482,0.01599318498996627,0.004136157346818846,0.004360935014131441,0.004453802438485769,0.003629896319788439,0.013624564544807191,0.02640379374070862,0.02101155983723023,-0.008754680531298,0.0583725033812226,-0.0761080291070434,0.006394698068270249,-0.14936209469618383,-0.01632319041748727,0.022356410546485,0.03650472925661975,-0.1604969255349894,0.07769327156768295,0.0350967958214049,0.27730439039679294,-0.048516449680804166,-0.054763582773104356,-0.05485650485343143,-0.0884242205034023,0.03511480243494012
ASV_129,-0.0035648531876422604,0.006690932192197917,-0.005326821503261407,0.014393653960587213,-0.0019008814534711078,0.0323389274763323,-0.001475370876576127,0.008270286460473873,0.006887668931584321,-0.0008042171393654587,-0.012628412908932565,-0.003975638160648176,0.0059142808938133125,0.007234632370773372,-0.0008642619942000356,-0.02320062975501202,-0.019041863243843462,-0.05018344771084487,-0.00020467589555565036,0.007555783666622027,0.013640367634425325,-0.04562591806125087,-0.006105406248666215,-0.020210825384615185,0.007814609836117896,-0.02799472979289867,-0.043213212534925986,0.014764297803543307,-0.0112529357012758,-0.0643219178517617
